 09:28:41 up 12 days, 20:24, 12 users,  load average: 0.83, 0.97, 0.98
USER     TTY      FROM              LOGIN@   IDLE   JCPU   PCPU WHAT
snehal19 pts/0    106.78.209.30    07:56    1:20m  0.23s  0.23s -bash
deolditt pts/2    42.111.128.129   07:29    1:33m  0.15s  0.15s -bash
meena546 pts/4    157.48.22.149    08:06   19:10  40.53s 40.45s /usr/jdk64/java
srujanak pts/5    125.62.197.2     08:27    1:00m  0.08s  0.08s -bash
prsnsf   pts/6    103.5.133.96     09:13    1:15   0.19s  0.19s -bash
adityaba pts/7    139.167.14.174   09:25    2:42   0.07s  0.07s -bash
davidemu pts/9    62.197.235.129   08:50    4.00s  0.15s  0.15s -bash
dreineke pts/10   97.91.218.190    Thu14    2days  0.11s  0.11s -bash
yeshwant pts/11   49.35.12.242     09:26   11.00s  0.08s  0.08s -bash
snehal19 pts/13   106.78.209.30    09:26    0.00s  0.14s  0.01s w
grajagop pts/12   184.185.177.162  Tue00    4days  0.13s  0.13s -bash
rohit191 pts/3    183.82.21.21     08:46   41:55   0.07s  0.07s -bash
